"Record ID","Deal Name","Project ID","Tier 1 (Reseller)","Tier 2 (Reseller Sales Org)","AADT (site)","Deal Stage","State (install site)","Country (install site)","Latitude/Longitude (install site)","Postal Code (install site)"
"16897998940","Boulder Creek Communications LLC - 1212 West Appleway Ave","","Apex Omnisource","RevStream","100000","3. Contracts & Committments","ID","USA","47.70008075883773, -116.80209987697077","83814"
"16897998880","Boulder Creek Communications LLC - 222 Arsenal Rd","","Apex Omnisource","RevStream","82000","3. Contracts & Committments","PA","USA","39.98437289777847, -76.72733420494464","17402"
"16897888332","Boulder Creek Communications LLC - 3815 Paxton St","","Apex Omnisource","RevStream","119000","3. Contracts & Committments","PA","USA","40.253319245976904, -76.8211435544437","17111"
"16897998683","Boulder Creek Communications LLC - 51 Best St","","Apex Omnisource","RevStream","132000","3. Contracts & Committments","OH","USA","39.769914804344474, -84.19374601706905","45405"
"16897802863","Boulder Creek Communications LLC - 5135 Wadsworth Rd","","Apex Omnisource","RevStream","113000","1. Qualifications","OH","USA","39.821797003554686, -84.18810167433992","45414"
"16897888079","Boulder Creek Communications LLC - 5033 Rouse Dr","","Apex Omnisource","RevStream","176000","1. Qualifications","VA","USA","36.83630851672554, -76.15675289326337","23462"
"16897888017","Boulder Creek Communications LLC - 853 Cloverleaf Ln","","Apex Omnisource","RevStream","162000","1. Qualifications","VA","USA","37.087312232634766, -76.45599135178915","23601"
"16897802604","Boulder Creek Communications LLC - 475 N Business Interstate Hwy 35","","Apex Omnisource","RevStream","120000","1. Qualifications","TX","USA","29.69499210592408, -98.1039682890609","78130"
"16897802544","Boulder Creek Communications LLC - 1210 S Interstate 35","","Apex Omnisource","RevStream","136000","1. Qualifications","TX","USA","29.868424253498482, -97.94123996437722","78666"
"16897802406","Boulder Creek Communications LLC - 5401 N Marginal Rd","","Apex Omnisource","RevStream","125000","1. Qualifications","OH","USA","41.52865632777345, -81.65594265027264","44114"
"16897887652","Boulder Creek Communications LLC - 25975 Central Pkwy","","Apex Omnisource","RevStream","160000","3. Contracts & Committments","OH","USA","41.46741223661458, -81.49110536214285","44122"
"16897887582","Boulder Creek Communications LLC - 5835 Landerbrook Dr","","Apex Omnisource","RevStream","129000","3. Contracts & Committments","OH","USA","41.504615264675095, -81.47172676831988","44124"
"16897802139","Boulder Creek Communications LLC - 2960 S Arlington Rd","","Apex Omnisource","RevStream","125000","3. Contracts & Committments","OH","USA","40.99076734672328, -81.492899977111","44312"
"16897802081","Boulder Creek Communications LLC - 3820 Parkway Ln","","Apex Omnisource","RevStream","110000","3. Contracts & Committments","OH","USA","40.03172339876828, -83.12525676729261","43026"
"16897887352","Boulder Creek Communications LLC - 4820 Pan American Fwy","","Apex Omnisource","RevStream","161000","1. Qualifications","NM","USA","35.13593100384085, -106.60320561644471","87109"
"16897887297","Boulder Creek Communications LLC - 2572 Citiplace Ct","","Apex Omnisource","RevStream","159000","1. Qualifications","LA","USA","30.42266112102797, -91.12922472648646","70808"
